# RM1 parameters (eV / Bohr^-1 / Angstrom^-1). PROVENANCE:
#   Original scientific source: G. B. Rocha, R. O. Freire, A. M. Simas &
#   J. J. P. Stewart, "RM1: A Reparameterization of AM1 for H, C, N, O, P, S, F,
#   Cl, Br and I", J. Comput. Chem. 27, 1101-1111 (2006).
#   This machine-readable tabulation was extracted from MOPAC
#   (src/models/parameters_for_RM1_C.F90), Copyright 2021 Virginia Polytechnic
#   Institute and State University, Apache License 2.0 -- see
#   THIRD_PARTY_NOTICES.md and third_party/mopac/LICENSE.
#   Extracted by tools/extract_rm1_parameters.py; do not hand-edit.
#
#   RM1 has the AM1 functional form exactly (same NDDO core, same core-core
#   Gaussian corrections), so these load into the same code path as AM1.
#   Only RM1's published main-group set is included. Its lanthanides (Z=57-71)
#   require d/f orbitals and the sparkle model, which this crate does not have.
#
# Lines starting with '#' are comments and are skipped by the parser.
   N, sym,         U_ss,         U_pp,       zeta_s,       zeta_p,       zeta_d,       beta_s,       beta_p,         g_ss,         g_sp,         g_pp,         g_p2,         h_sp,        alpha,  Gaussian1_K,  Gaussian1_L,  Gaussian1_M,  Gaussian2_K,  Gaussian2_L,  Gaussian2_M,  Gaussian3_K,  Gaussian3_L,  Gaussian3_M,  Gaussian4_K,  Gaussian4_L,  Gaussian4_M
   1,   H,  -11.9606770,    0.0000000,    1.0826737,    0.0000000,    0.0000000,   -5.7654447,    0.0000000,   13.9832130,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    3.0683595,    0.1028888,    5.9017227,    1.1750118,    0.0645745,    6.4178567,    1.9384448,   -0.0356739,    2.8047313,    1.6365524,    0.0000000,    0.0000000,    0.0000000
   6,   C,  -51.7255603,  -39.4072894,    1.8501880,    1.7683009,    0.0000000,  -15.4593243,   -8.2360864,   13.0531244,   11.3347939,   10.9511374,    9.7239510,    1.5521513,    2.7928208,    0.0746227,    5.7392160,    1.0439698,    0.0117705,    6.9240173,    1.6615957,    0.0372066,    6.2615894,    1.6315872,   -0.0027066,    9.0000373,    2.7955790
   7,   N,  -70.8512372,  -57.9773092,    2.3744716,    1.9781257,    0.0000000,  -20.8712455,  -16.6717185,   13.0873623,   13.2122683,   13.6992432,   11.9410395,    5.0000085,    2.9642254,    0.0607338,    4.5889295,    1.3787388,    0.0243856,    4.6273052,    2.0837070,   -0.0228343,    2.0527466,    1.8676382,    0.0000000,    0.0000000,    0.0000000
   8,   O,  -96.9494807,  -77.8909298,    3.1793691,    2.5536191,    0.0000000,  -29.8510121,  -29.1510131,   14.0024279,   14.9562504,   14.1451514,   12.7032550,    3.9321716,    4.1719672,    0.2309355,    5.2182874,    0.9036356,    0.0585987,    7.4293293,    1.5175461,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    0.0000000
   9,   F, -134.1836959, -107.8466092,    4.4033791,    2.6484156,    0.0000000,  -70.0000051,  -32.6798271,   16.7209132,   16.7614263,   15.2258103,   14.8657868,    1.9976617,    6.0000006,    0.4030203,    7.2044196,    0.8165301,    0.0708583,    9.0000156,    1.4380238,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    0.0000000
  15,   P,  -41.8153318,  -34.3834253,    2.1224012,    1.7432795,    0.0000000,   -6.1351497,   -5.9444213,   11.0805926,    5.6833920,    7.6041756,    7.4026518,    1.1618179,    1.9099329,   -0.4106347,    6.0875283,    1.3165026,   -0.1629929,    7.0947260,    1.9072132,   -0.0488713,    8.9997931,    2.6585778,    0.0000000,    0.0000000,    0.0000000
  16,   S,  -55.1677512,  -46.5293042,    2.1334431,    1.8746065,    0.0000000,   -1.9591072,   -8.7743065,   12.4882841,    8.5691057,    8.5230117,    7.6686330,    3.8897893,    2.4401564,   -0.7460106,    4.8103800,    0.5938013,   -0.0651929,    7.2076086,    1.2949201,   -0.0065598,    9.0000018,    1.8006015,    0.0000000,    0.0000000,    0.0000000
  17,  Cl, -118.4730692,  -76.3533034,    3.8649107,    1.8959314,    0.0000000,  -19.9243043,  -11.5293520,   15.3602310,   13.3067117,   12.5650264,    9.6639708,    1.7648990,    3.6935883,    0.1294711,    2.9772442,    1.4674978,    0.0028890,    7.0982759,    2.5000272,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    0.0000000
  35,  Br, -113.4839818,  -76.1872002,    5.7315721,    2.0314758,    0.0000000,   -1.3413984,   -8.2022599,   17.1156307,   15.6241925,   10.7354629,    8.8605620,    2.2351276,    2.8671053,    0.9868994,    4.2848419,    2.0001970,   -0.9273125,    4.5400591,    2.0161770,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    0.0000000
  53,   I,  -74.8999784,  -51.4102380,    2.5300375,    2.3173868,    0.0000000,   -4.1931615,   -4.4003841,   19.9997413,    7.6895767,    7.3048834,    6.8542461,    1.4160294,    2.1415709,   -0.0814772,    1.5606507,    2.0000206,    0.0591499,    5.7611127,    2.2048880,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    0.0000000,    0.0000000
